                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      8.9999999999999997E-002      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6 
                            model_number                                 star_age                                star_mass                                    log_L                                 log_Teff                                    log_R 
                                    2650                  2.5665731516871250E+012                  8.9999999999999997E-002                 -2.7318433880217823E+000                  3.5134708875396208E+000                 -8.6960463263750576E-001 
                                    2683                  2.5995731516871187E+012                  8.9999999999999997E-002                 -2.7288707891284396E+000                  3.5143322493655278E+000                 -8.6984105684264912E-001 
                                    2700                  2.6165731516871152E+012                  8.9999999999999997E-002                 -2.7274150150883298E+000                  3.5147530671442011E+000                 -8.6995480537994008E-001 
                                    2750                  2.6665731516871055E+012                  8.9999999999999997E-002                 -2.7232978932009821E+000                  3.5159463380123852E+000                 -8.7028278617263488E-001 
                                    2800                  2.7165731516870957E+012                  8.9999999999999997E-002                 -2.7192327033431134E+000                  3.5171388965448522E+000                 -8.7063530830863423E-001 
                                    2850                  2.7665731516870859E+012                  8.9999999999999997E-002                 -2.7150264040099312E+000                  3.5183951312542083E+000                 -8.7104462806075555E-001 
                                    2900                  2.8165731516870762E+012                  8.9999999999999997E-002                 -2.7107162283946544E+000                  3.5197091002274492E+000                 -8.7151747819960002E-001 
                                    2950                  2.8665731516870664E+012                  8.9999999999999997E-002                 -2.7065841141744036E+000                  3.5210038205461363E+000                 -8.7204086172684825E-001 
                                    3000                  2.9165731516870566E+012                  8.9999999999999997E-002                 -2.7031509406321503E+000                  3.5221357043091692E+000                 -8.7258804248178745E-001 
                                    3050                  2.9665731516870469E+012                  8.9999999999999997E-002                 -2.7006958699342771E+000                  3.5230340222792873E+000                 -8.7315714307308634E-001 
                                    3100                  3.0165731516870376E+012                  8.9999999999999997E-002                 -2.6991846429710065E+000                  3.5237203507881252E+000                 -8.7377418660912631E-001 
                                    3150                  3.0665731516870278E+012                  8.9999999999999997E-002                 -2.6984522353971552E+000                  3.5242537385379675E+000                 -8.7447475832188593E-001 
                                    3200                  3.1165731516870181E+012                  8.9999999999999997E-002                 -2.6983294942757872E+000                  3.5246923116255839E+000                 -8.7529053393643497E-001 
                                    3250                  3.1665731516870083E+012                  8.9999999999999997E-002                 -2.6986545673474702E+000                  3.5250917959093613E+000                 -8.7625203903983029E-001 
                                    3300                  3.2165731516869985E+012                  8.9999999999999997E-002                 -2.6992956243708899E+000                  3.5255020957191570E+000                 -8.7739316717113225E-001 
                                    3350                  3.2665731516869888E+012                  8.9999999999999997E-002                 -2.7001277319413455E+000                  3.5259744764840222E+000                 -8.7875398248609016E-001 
                                    3400                  3.3165731516869790E+012                  8.9999999999999997E-002                 -2.7009538021032999E+000                  3.5265898329498859E+000                 -8.8039773049879655E-001 
                                    3450                  3.3665731516869692E+012                  8.9999999999999997E-002                 -2.7016973166969840E+000                  3.5273924189398405E+000                 -8.8237465977554652E-001 
                                    3500                  3.4165731516869595E+012                  8.9999999999999997E-002                 -2.7024105224405210E+000                  3.5283895285561750E+000                 -8.8472548187998312E-001 
                                    3550                  3.4665731516869497E+012                  8.9999999999999997E-002                 -2.7031959357821043E+000                  3.5295769705355027E+000                 -8.8749307250943155E-001 
                                    3600                  3.5165731516869399E+012                  8.9999999999999997E-002                 -2.7041881470996296E+000                  3.5309412804504894E+000                 -8.9071779799816742E-001 
